胚衣文件名;胚衣完整路径;适用贴图后缀（B/W/BW）;方法（transform/legacy）;缩放后宽px;缩放后高px;旋转角度（负=逆时针/正=顺时针）;最高像素点y;中心点x;输出命名规则（可空）;备注（可空）
白正2.jpg;D:\Semems\1胚衣\白正2.jpg;W;transform;546;546;-2;644;670;<编号>_W_白.jpg;正面W贴图白T
白W3.psd;D:\Semems\1胚衣\白\白W3.psd;W;legacy;;;0;450;730;<编号>_W1_白.jpg;DX0533旧版PSD，带手部遮罩
白B1.png;D:\Semems\1胚衣\白\白B1.png;B;transform;;;0;725;649;<编号>_B1_白.jpg;背面B贴图
白B3.png;D:\Semems\1胚衣\白\白B3.png;B;transform;;;-3;700;777;<编号>_B3_白.jpg;背面B贴图
白B4.png;D:\Semems\1胚衣\白\白B4.png;B;transform;;;2;1011;576;<编号>_B4_白.jpg;背面B贴图
黑W9.png;D:\Semems\1胚衣\黑\黑W9.png;W;transform;;;0;380;660;<编号>_W9_黑.jpg;正面W贴图黑T
黑W8.png;D:\Semems\1胚衣\黑\黑W8.png;W;transform;;;1;423;647;<编号>_W8_黑.jpg;正面W贴图黑T
黑W5.png;D:\Semems\1胚衣\黑\黑W5.png;W;legacy;544;602;4;470;716;<编号>_W5_黑.jpg;
黑W2.png;D:\Semems\1胚衣\黑\黑W2.png;W;transform;;;0;441;632;<编号>_W2_黑.jpg;
黑W1.png;D:\Semems\1胚衣\黑\黑W1.png;W;transform;;;0;393;634;<编号>_W1_黑.jpg;
黑B6.png;D:\Semems\1胚衣\黑\黑B6.png;B;transform;;;-1;669;623;<编号>_B6_黑.jpg;
黑B5.png;D:\Semems\1胚衣\黑\黑B5.png;B;transform;;;0;397;535;<编号>_B5_黑.jpg;
黑B4.png;D:\Semems\1胚衣\黑\黑B4.png;B;transform;;;0;595;729;<编号>_B4_黑.jpg;
黑B3.png;D:\Semems\1胚衣\黑\黑B3.png;B;transform;;;0;813;696;<编号>_B3_黑.jpg;
黑B2.png;D:\Semems\1胚衣\黑\黑B2.png;B;transform;;;-3;645;657;<编号>_B2_黑.jpg;
黑B1.png;D:\Semems\1胚衣\黑\黑B1.png;B;transform;;;-2;715;707;<编号>_B1_黑.jpg;
黑正2.jpg;D:\Semems\1胚衣\黑正2.jpg;W;transform;545;583;-1;657;682;<编号>_W_黑.jpg;正面W贴图白T
